,frame.number,frame.time_relative,frame.time_delta,frame.len,ip.src,ip.dst,ip.proto,port.src,port.dst,flow_id
0,1,0.0,,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
1,2,3e-06,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
2,3,6e-06,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
3,4,9e-06,3e-06,94,167.180.134.255,32.218.92.255,1.0,0,0,1
4,5,1.2e-05,3e-06,66,55.146.64.212,211.83.168.117,6.0,49191,3389,2
5,6,0.000123,0.000111,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
6,7,0.00013,7e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
7,8,0.000134,4e-06,66,41.144.17.190,195.236.235.166,6.0,3813,80,3
8,9,0.000137,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
9,10,0.000142,5e-06,66,0.232.41.19,194.81.170.117,6.0,80,43699,4
10,11,0.000244,0.000102,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
11,12,0.000247,3e-06,66,55.146.64.212,211.83.168.117,6.0,49191,3389,2
12,13,0.00025,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
13,14,0.000253,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
14,15,0.000255,2e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
15,16,0.000258,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
16,17,0.00026,2e-06,66,55.146.64.212,211.83.168.117,6.0,49191,3389,2
17,18,0.000372,0.000112,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
18,19,0.000375,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
19,20,0.000498,0.000123,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
20,21,0.000504,6e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
21,22,0.000508,4e-06,66,55.146.64.212,211.83.168.117,6.0,49191,3389,2
22,23,0.000514,6e-06,97,67.166.99.231,194.81.10.231,6.0,443,50022,5
23,24,0.000517,3e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
24,25,0.00052,3e-06,1440,201.94.175.65,140.198.191.250,6.0,80,53297,6
25,26,0.000522,2e-06,1514,200.11.79.20,140.198.115.132,6.0,80,52021,0
26,27,0.000525,3e-06,1440,201.94.175.65,140.198.191.250,6.0,80,53297,6
