flow_index,start_ts,last_ts,duration_us
1,126512083,126512083,0
8,83303353,345809606,262506253
17,272434113,272434113,0
21,85911059,358456574,272545515
23,179652837,179652837,0
24,85548349,85548349,0
27,346421900,346421900,0
32,229593202,229593202,0
42,279852161,279852161,0
49,344294419,344294419,0
51,121541188,121541188,0
60,303233600,303233600,0
64,90958197,360303047,269344850
67,259139400,259139400,0
69,142045477,142045477,0
82,232257762,232257762,0
89,185753838,198148146,12394308
95,342948712,342948712,0
102,141750381,319455627,177705246
105,92094698,135814258,43719560
106,91668419,91668419,0
109,84984412,84984412,0
110,162419846,162419846,0
112,158768166,159296271,528105
113,292655962,292655962,0
114,242463693,315034747,72571054
126,352322951,352322951,0
129,94903498,232604221,137700723
134,254082882,254082882,0
135,104628765,142067581,37438816
144,229757901,233590345,3832444
152,82853308,278683468,195830160
153,158204735,355604730,197399995
158,314294939,361269349,46974410
162,141136906,155074491,13937585
169,210591211,222957903,12366692
171,289364722,293057673,3692951
174,113722100,330173830,216451730
175,154631288,178779913,24148625
181,333291986,333291986,0
185,250575369,293031902,42456533
187,214043145,299432484,85389339
192,131818188,131818188,0
193,344395090,344395090,0
210,353618161,353618161,0
212,311873427,311873427,0
213,227497035,227497035,0
214,109604389,109604389,0
218,81259148,131597277,50338129
225,159609360,302679487,143070127
231,103443726,103443726,0
234,105040211,105041549,1338
235,218805921,273133002,54327081
237,150478036,150478036,0
245,341454673,365057238,23602565
254,343276071,343276071,0
259,140340991,288973329,148632338
260,171918370,171918370,0
263,237173658,353428503,116254845
265,89874664,359309977,269435313
269,166513142,327216570,160703428
274,111629185,111629185,0
276,363872706,363872706,0
277,162354646,162354646,0
287,99909634,99909634,0
296,242298389,242298389,0
297,279148726,315773924,36625198
299,136298513,164891294,28592781
302,127130655,128691439,1560784
308,232975230,232975230,0
315,121680350,121680350,0
317,275139353,275139353,0
327,222166633,222166633,0
328,198323316,300074442,101751126
329,222958114,235262120,12304006
330,250792054,250792054,0
334,132256966,162793243,30536277
335,207421646,207425930,4284
337,101289917,307331861,206041944
341,131816288,131816288,0
348,155645046,155645046,0
358,300677521,300677521,0
364,235562681,235562681,0
366,152811282,152811282,0
370,269707530,274827779,5120249
371,242249082,252539144,10290062
372,126489174,126489174,0
373,152371848,357187484,204815636
383,269255477,269255477,0
387,170511128,357023988,186512860
391,81798783,82263422,464639
401,117268696,117294672,25976
405,333292795,333292795,0
409,80918747,80919183,436
413,200526386,200526386,0
427,218102740,270284040,52181300
431,181951178,181951178,0
449,111552868,122686685,11133817
458,231918459,359071742,127153283
459,360464821,360464821,0
464,90590672,90590672,0
472,332854997,332854997,0
473,140959455,140959455,0
474,117181152,142091467,24910315
486,99080064,99080064,0
495,101561506,101561506,0
505,274989084,366616423,91627339
506,105140647,156474008,51333361
511,131788303,131788303,0
513,183081717,183081717,0
528,225650475,228766061,3115586
530,142293013,142293013,0
538,141712078,147218641,5506563
544,98980392,98980392,0
545,109165192,109165192,0
555,300740149,303703722,2963573
561,306779238,306779238,0
562,114463525,114463525,0
566,265029891,286846955,21817064
568,205504870,269244472,63739602
570,115294013,154443134,39149121
577,107781973,366903384,259121411
585,229530541,229530541,0
589,302842851,302842851,0
590,221207762,221207762,0
603,108346763,108346763,0
605,87879870,87879870,0
619,237235737,237235737,0
620,276146234,347942665,71796431
624,235160354,235160354,0
629,332818920,353856449,21037529
633,285477681,297672596,12194915
635,242310051,242310051,0
636,193798981,233452635,39653654
649,91969067,210341995,118372928
651,84970828,361898170,276927342
653,332814587,332814587,0
655,323181735,323181735,0
656,244207086,310341391,66134305
657,186728324,186728324,0
664,88381663,88381663,0
669,145499113,201026775,55527662
672,221282852,226969090,5686238
678,190237302,190237302,0
681,338052413,338052413,0
691,167946938,364317902,196370964
694,97912751,100360464,2447713
701,120322182,120322182,0
709,91128282,367894962,276766680
713,158066917,158066917,0
722,314821507,314821507,0
725,208499522,208499522,0
729,253592305,253592305,0
733,111578157,111578157,0
741,82852000,82852000,0
745,292680440,292680440,0
747,150616401,351785765,201169364
759,145800151,149187483,3387332
765,362929688,362929688,0
773,322717873,322717873,0
779,228339955,228339955,0
785,259476484,259476484,0
800,306050899,348734677,42683778
803,258901869,258901869,0
806,87264907,127193661,39928754
807,162016683,162016683,0
815,93324163,296174249,202850086
817,241342077,241342077,0
823,242450820,286695468,44244648
825,91532107,91532107,0
826,109128788,109128788,0
829,343376672,343376672,0
831,188338193,199859847,11521654
839,267983071,267983071,0
840,118512761,140717731,22204970
849,160261631,363722283,203460652
864,112209692,112209692,0
866,323708312,323708312,0
867,212199025,212199025,0
869,353591921,353591921,0
873,282606248,282606248,0
889,95693886,368721704,273027818
902,233514570,346459004,112944434
906,294754519,294754519,0
908,87214707,87214707,0
909,291712367,291712367,0
921,320125915,332512282,12386367
922,80755985,102198434,21442449
926,92219938,92219938,0
929,83841772,362960249,279118477
931,92659119,111403708,18744589
945,252939248,252939248,0
961,162354861,365912733,203557872
976,286984343,286984343,0
985,148748538,148748538,0
988,153275907,184868002,31592095
993,255779276,255779276,0
1021,272542029,272542029,0
1022,93825736,93825736,0
1024,111088537,111088537,0
1028,165595113,165595113,0
1030,87590894,367531791,279940897
1031,262422993,262422993,0
1037,300565113,300565113,0
1038,258663068,258663068,0
1042,221938674,332839549,110900875
1044,247852733,247852733,0
1065,126587825,126587825,0
1067,272995285,276811260,3815975
1069,121673124,344775060,223101936
1073,86299565,86299565,0
1074,232031327,246896355,14865028
1075,257171944,338366664,81194720
1080,323095087,323095087,0
1082,361835023,361835023,0
1084,242365843,242365843,0
1087,103744983,125605998,21861015
1088,278846842,306843215,27996373
1089,137813413,244508232,106694819
1090,231365026,231365026,0
