flow_index,protocol,duration_us,packet_count
1,1,0,1
8,6,262218420,24
17,1,0,1
21,6,272221652,127
23,1,0,1
24,1,0,1
27,6,0,1
32,6,0,1
42,17,0,1
49,1,0,1
51,1,0,1
60,1,0,1
64,6,269016532,16
67,6,0,1
69,17,0,1
82,1,0,1
89,6,12349270,5
95,1,0,1
102,6,177507089,2
105,6,43673795,18
106,1,0,1
109,17,0,1
110,1,0,1
112,6,529600,4
113,1,0,1
114,6,72481427,2
126,17,0,1
129,6,137539267,5
134,17,0,1
135,6,37356033,5
144,6,3829925,25
152,1,195619821,4
153,6,197136980,8
158,6,46914195,9
162,6,13950259,4
169,6,12366472,5
171,6,3689793,14
174,1,216196675,4
175,6,24120253,5
181,1,0,1
185,6,42432305,15
187,6,85294807,5
192,1,0,1
193,6,0,1
210,1,0,1
212,17,0,1
213,1,0,1
214,17,0,1
218,6,50306478,5
225,6,142865634,12
231,6,0,1
234,6,1342,2
235,6,54266938,7
237,17,0,1
245,6,23531448,4
254,1,0,1
259,6,148471715,6
260,1,0,1
263,17,116118899,2
265,6,269109767,39
269,1,160503905,7
274,1,0,1
276,1,0,1
277,1,0,1
287,6,0,1
296,1,0,1
297,1,36560927,2
299,6,28589906,6
302,6,1557882,2
308,1,0,1
315,1,0,1
317,17,0,1
327,1,0,1
328,1,101653159,2
329,6,12289925,5
330,6,0,1
334,17,30518483,2
335,17,4305,15
337,6,205755855,15
341,1,0,1
348,1,0,1
358,17,0,1
364,1,0,1
366,1,0,1
370,6,5125081,3
371,6,10258767,4
372,1,0,1
373,1,204555071,2
383,6,0,1
387,1,186257895,2
391,6,465079,10
401,6,25907,2
405,1,0,1
409,6,387,2
413,17,0,1
427,6,52118711,7
431,1,0,1
449,6,11112700,2
458,6,126989785,2
459,17,0,1
464,1,0,1
472,1,0,1
473,17,0,1
474,1,24850708,2
486,17,0,1
495,1,0,1
505,6,91479144,5
506,6,51263316,4
511,1,0,1
513,6,0,1
528,6,3110993,14
530,1,0,1
538,6,5508518,2
544,6,0,1
545,17,0,1
555,6,2949408,14
561,17,0,1
562,17,0,1
566,6,21807998,2
568,6,63686381,2
570,6,39097184,2
577,6,258754295,69
585,6,0,1
589,6,0,1
590,6,0,1
603,6,0,1
605,17,0,1
619,6,0,1
620,6,71710056,6
624,1,0,1
629,6,20989593,4
633,6,12177797,5
635,1,0,1
636,6,39624844,13
649,6,118222045,2
651,6,276592016,40
653,1,0,1
655,1,0,1
656,6,66047271,2
657,17,0,1
664,17,0,1
669,6,55442149,3
672,6,5675729,6
678,1,0,1
681,1,0,1
691,1,196088440,3
694,6,2461037,29
701,6,0,1
709,6,276412565,99
713,1,0,1
722,6,0,1
725,1,0,1
729,17,0,1
733,1,0,1
741,6,0,1
745,1,0,1
747,1,200929753,2
759,6,3391828,3
765,1,0,1
773,1,0,1
779,17,0,1
785,6,0,1
800,6,42660283,11
803,6,0,1
806,6,39906997,7
807,1,0,1
815,1,202622414,3
817,1,0,1
823,6,44204593,2
825,1,0,1
826,1,0,1
829,1,0,1
831,17,11480445,2
839,6,0,1
840,6,22148775,11
849,1,203172503,3
864,17,0,1
866,17,0,1
867,1,0,1
869,1,0,1
873,1,0,1
889,17,272674414,35
902,1,112823050,7
906,1,0,1
908,6,0,1
909,17,0,1
921,6,12389640,5
922,6,21454600,4
926,6,0,1
929,6,278777371,102
931,6,18754515,4
945,1,0,1
961,6,203258279,5
976,17,0,1
985,17,0,1
988,6,31551688,3
993,6,0,1
1021,1,0,1
1022,6,0,1
1024,1,0,1
1028,17,0,1
1030,17,279586020,4
1031,1,0,1
1037,1,0,1
1038,1,0,1
1042,17,110791003,2
1044,17,0,1
1065,1,0,1
1067,6,3815894,4
1069,1,222832751,3
1073,17,0,1
1074,6,14832432,5
1075,17,81145646,2
1080,1,0,1
1082,6,0,1
1084,1,0,1
1087,6,21827955,4
1088,1,27933849,2
1089,6,106562547,14
1090,1,0,1
1103,6,0,1
1105,17,0,1
1110,1,0,1
1114,17,16613071,3
1120,6,3462817,7
1124,17,0,1
1127,6,228636958,4
1133,6,0,1
1135,1,0,1
1137,6,84968646,5
1138,6,5302894,3
1140,17,0,1
1148,17,0,1
1149,6,0,1
1150,1,200937561,2
1153,1,0,1
1155,17,0,1
1165,6,0,1
1169,6,0,1
1172,1,0,1
1176,6,0,1
1183,6,5579073,3
1184,6,0,1
1194,1,0,1
1199,1,0,1
1206,6,283819032,279
1217,1,0,1
1218,1,0,1
1222,1,0,1
1224,6,12233410,3
1235,6,224445017,3
1239,6,0,1
1244,1,100430684,2
1250,1,0,1
1254,1,199921720,3
1257,1,0,1
1258,6,841797,5
1259,1,0,1
1261,1,0,1
1262,6,0,1
1263,6,23181153,5
1274,17,66901339,3
1277,6,166067076,8
1280,17,0,1
1295,6,218301820,9
1297,17,0,1
1303,6,0,1
1308,17,0,1
1313,17,0,1
1315,6,1266,2
1320,1,0,1
1334,1,0,1
1342,6,41629775,6
1344,1,200883698,3
1349,1,0,1
1353,17,0,1
1356,6,17427568,2
1358,1,0,1
1367,1,0,1
1370,17,0,1
1372,6,2873681,5
1379,6,11061026,3
1387,1,0,1
1390,1,0,1
1391,17,0,1
1393,6,0,1
1394,17,0,1
1403,17,0,1
1405,6,2610017,3
1407,6,270665250,155
1417,17,0,1
1420,17,0,1
1430,17,0,1
1434,17,0,1
1437,6,0,1
1438,1,0,1
1443,6,0,1
1451,6,5588448,29
1458,17,0,1
1463,17,0,1
1466,1,140974283,3
1468,1,0,1
1473,1,0,1
1476,6,1093146,2
1480,6,0,1
1481,1,0,1
1482,1,0,1
1488,6,0,1
1490,6,133084390,36
1498,17,0,1
1502,6,20497344,2
1506,1,0,1
1522,6,30775706,9
1523,6,3081146,2
1525,6,21955321,4
1532,6,13502835,3
1541,6,7758695,9
1546,17,0,1
1547,1,222812365,2
1558,1,0,1
1572,1,0,1
1573,17,0,1
1576,1,40453549,2
1578,6,11679106,2
1582,1,0,1
1587,1,0,1
1593,6,27415761,3
1605,6,0,1
1608,6,0,1
1611,17,0,1
1614,6,11795,2
1616,6,3774715,21
1620,1,0,1
1621,17,0,1
1623,17,0,1
1629,17,0,1
1640,1,0,1
1644,1,0,1
1658,1,0,1
1664,1,0,1
1667,6,0,1
1681,1,199976600,3
1686,17,0,1
1689,17,129247786,9
1692,1,0,1
1695,6,34388526,4
1703,1,0,1
1709,6,0,1
1710,17,61852859,3
1712,1,0,1
1713,6,0,1
1715,1,0,1
1721,6,136566405,27
1723,6,0,1
1724,6,13997855,6
1727,1,10019554,2
1729,17,0,1
1737,6,12409356,5
1738,1,0,1
1741,6,18710760,4
1743,17,240226630,6
1745,6,38017222,2
1760,6,9544835,4
1766,1,0,1
1768,17,0,1
1780,1,0,1
1795,1,0,1
1807,1,0,1
1808,6,3373074,15
1814,1,0,1
1820,17,0,1
1833,6,76789382,6
1835,6,23937193,16
1837,6,0,1
1838,1,0,1
1839,6,23183874,5
1857,6,725228,5
1858,6,625741,2
1872,1,0,1
1873,6,0,1
1875,17,0,1
1877,1,0,1
1878,17,0,1
1881,17,0,1
1883,6,255667513,10
1898,6,97081,2
1904,17,0,1
1905,1,0,1
1907,6,3218396,2
1909,6,29705623,4
1914,6,0,1
1923,1,0,1
1925,1,0,1
1936,6,0,1
1937,17,0,1
1943,17,0,1
1947,6,16011875,2
1957,1,0,1
1967,1,200817568,3
1971,6,0,1
1979,6,279751643,22
1981,6,0,1
1996,6,81865481,5
1998,6,0,1
1999,17,0,1
2003,1,0,1
2009,6,12792743,5
2011,1,0,1
2017,17,0,1
2022,1,0,1
2024,6,50069779,7
2025,6,0,1
2027,6,3784887,2
2028,6,0,1
2036,6,0,1
2040,6,0,1
2041,1,0,1
2043,1,0,1
2048,1,0,1
2056,6,0,1
2058,17,0,1
2064,6,113099554,15
2066,17,0,1
2075,1,0,1
2079,6,0,1
2081,17,0,1
2088,1,0,1
2089,6,86204897,4
2091,6,3044967,14
2092,1,0,1
2097,6,0,1
2100,1,0,1
2112,17,0,1
2117,17,0,1
2118,6,0,1
2122,6,0,1
2129,6,0,1
2137,1,0,1
2149,17,0,1
2163,6,281717905,27
2170,1,43837064,2
2173,6,16482599,3
2185,1,160479753,2
2193,1,0,1
2195,1,200788651,2
2197,6,144337972,34
2199,1,0,1
2205,1,0,1
2208,6,3131160,6
2211,6,0,1
2225,6,67923836,3
2230,1,0,1
2231,6,9619115,2
2234,6,247352866,5
2242,6,0,1
2243,1,124485172,2
2250,6,17668099,7
2255,6,0,1
2263,1,0,1
2269,6,228588761,4
2271,6,178737058,9
2291,1,0,1
2300,6,8937472,6
2303,1,0,1
2320,17,0,1
2327,1,0,1
2332,1,0,1
2333,17,0,1
2337,17,155359444,4
2344,6,26691439,3
2356,6,205698014,8
2357,6,73289756,5
2363,6,0,1
2375,6,37758534,5
2379,6,25332401,4
2380,1,0,1
2398,1,0,1
2401,17,0,1
2407,1,0,1
2419,6,72170520,11
2427,6,0,1
2434,6,0,1
2435,6,29550648,2
2438,6,0,1
2444,6,0,1
2458,1,0,1
2462,1,0,1
2465,1,0,1
2471,6,282594041,198
2476,6,0,1
2478,1,0,1
2488,6,7316974,5
2492,1,200051125,3
2498,6,160871467,15
2511,1,126651439,2
2522,1,0,1
