packet_size,count
42,32
43,1
44,51
45,7
46,3450
47,15
48,5
49,5
50,9
51,5
52,3
53,8
54,12915
55,36
56,18
57,19
58,813
59,9
60,29
61,22
62,601
63,6
64,16
65,14
66,15791
67,739
68,69
69,27
70,870
71,17
72,188
73,23
74,1638
75,65
76,22
77,44
78,2495
79,80
80,36
81,65
82,169
83,42
84,54
85,73
86,691
87,42
88,118
89,153
90,336
91,224
92,184
93,151
94,710
95,44
96,28
97,44
98,802
99,20
100,26
101,39
102,78
103,61
104,34
105,149
106,383
107,69
108,26
109,10
110,89
111,8
112,36
113,70
114,32
115,19
116,7
117,8
118,65
119,20
120,19
121,18
122,16
123,25
124,11
125,32
126,32
127,3
128,11
129,16
130,135
131,6
132,10
133,19
134,38
135,12
136,14
137,21
138,35
139,17
140,38
141,44
142,30
143,63
144,3
145,35
146,14
147,10
148,12
149,9
150,24
151,12
152,7
153,7
154,26
155,9
156,4
157,3
158,25
159,7
160,6
161,15
162,10
163,5
164,11
165,4
166,5
167,7
168,2
169,8
170,5
171,6
172,6
173,13
174,350
175,5
176,8
177,27
178,6
179,5
180,23
181,7
182,66
183,3
184,6
185,8
186,28
187,8
188,6
189,6
190,2
191,9
192,11
193,20
194,6
196,4
197,18
198,36
199,19
200,16
201,7
202,3
203,9
204,10
205,7
206,8
207,3
208,7
209,3
210,17
211,4
212,1
213,4
214,7
215,4
216,7
217,3
218,25
219,4
220,5
221,21
222,8
223,12
224,6
225,6
226,7
227,9
228,11
229,7
230,8
231,12
232,16
233,36
234,8
235,6
236,10
237,9
238,23
239,4
240,10
241,8
242,2
243,3
244,32
245,21
246,26
247,2
248,1
249,7
250,3
251,3
252,2
253,1
254,21
255,10
256,1
257,5
258,12
259,11
260,10
261,11
262,7
263,10
264,11
265,8
266,6
267,8
268,4
269,28
270,18
271,11
272,22
273,4
274,4
275,3
276,11
277,10
278,159
279,9
280,16
281,42
282,8
283,3
284,23
285,4
286,58
287,2
288,1
289,4
290,12
291,18
292,10
293,4
294,10
295,13
296,2
297,3
299,12
300,11
301,5
302,14
303,5
304,17
305,1
306,5
307,4
308,5
309,4
310,4
311,7
312,7
313,25
314,1
315,4
316,47
317,4
318,16
319,7
320,4
321,27
322,4
323,2
324,6
325,1
326,7
327,8
328,2
329,8
330,1
331,6
332,14
333,8
334,63
335,2
336,6
337,1
338,6
339,9
340,7
341,3
342,3
343,3
344,5
345,1
346,4
347,10
348,9
349,8
350,7
351,4
352,2
353,6
354,5
355,6
356,5
357,4
358,4
359,4
360,1
361,7
362,2
363,6
364,2
365,1
366,4
367,4
368,14
369,1
370,6
371,2
372,2
373,2
374,4
375,5
377,4
378,17
380,9
381,3
382,8
383,7
384,5
385,4
386,3
387,5
388,1
389,3
390,5
391,2
392,6
393,5
394,3
395,1
396,4
397,3
398,19
399,3
400,6
401,1
402,21
403,7
404,8
405,1
406,2
407,6
408,6
409,7
410,6
411,8
412,8
413,6
414,22
415,8
416,19
417,4
418,20
419,11
420,15
421,22
422,8
423,35
424,23
425,5
426,25
427,10
428,35
429,5
430,21
431,13
432,23
433,20
434,14
435,5
436,8
437,7
438,16
439,4
440,10
441,9
442,8
443,7
444,3
445,3
446,15
447,11
449,1
450,3
451,2
452,4
453,4
454,3
455,13
456,6
458,4
459,17
460,2
461,11
462,8
463,13
464,7
465,4
466,5
467,4
468,8
469,3
470,33
471,7
472,3
473,4
474,2
475,2
476,2
477,4
478,7
479,2
480,7
481,4
482,7
483,1
484,3
486,4
487,2
488,7
490,2
491,3
492,4
493,8
494,7
495,1
496,5
498,2
499,3
500,1
501,8
502,3
503,1
504,1
505,3
506,3
508,3
509,17
510,1
511,6
512,3
513,1
514,5
516,5
517,14
518,13
519,5
520,3
521,1
522,10
523,4
524,2
525,3
527,10
528,11
529,14
530,6
531,7
532,7
533,48
534,16
535,12
536,57
537,21
538,20
539,22
540,13
541,11
542,32
543,6
544,24
545,24
546,23
547,13
548,13
549,21
550,12
551,6
552,10
553,2
554,10
555,2
556,3
557,1
558,3
559,19
563,2
564,4
566,32
567,2
568,3
569,13
570,4
571,6
572,3
573,1
574,24
575,32
577,1
578,6
579,5
580,1
581,7
582,5
583,1
585,1
586,3
587,13
588,2
590,83
592,2
593,2
594,5
595,3
597,1
598,1
599,1
601,1
602,3
603,1
604,2
605,1
606,6
607,3
608,4
609,1
610,4
611,1
612,1
615,3
616,2
618,1
619,2
620,4
621,4
622,7
623,1
624,2
625,1
626,3
629,1
630,2
631,2
632,65
633,24
634,4
636,4
637,4
638,10
640,4
641,1
642,3
644,7
645,6
646,6
647,1
648,2
649,1
650,3
651,2
652,2
653,1
654,5
655,4
656,4
657,1
658,2
659,6
660,3
661,2
662,1
663,3
664,5
666,1
667,5
668,1
669,1
670,6
671,2
672,2
673,1
674,7
676,2
677,2
678,4
679,1
680,3
681,2
682,7
683,15
684,9
685,3
686,8
687,5
689,2
690,7
691,1
692,3
693,9
694,4
695,11
696,5
697,1
700,2
701,1
702,13
704,1
705,2
706,1098
709,2
710,1
711,1
712,5
713,1
714,1
715,2
716,4
717,2
718,3
719,3
720,4
721,1
722,1
724,1
725,3
727,13
728,11
730,3
731,12
732,3
733,1
734,4
736,1
737,3
738,11
739,11
740,10
741,7
742,2
743,6
744,1
745,4
746,6
747,1
748,4
749,6
750,1
751,1
752,1
753,6
754,3
755,1
756,3
757,3
758,6
759,1
760,1
761,7
762,3
764,6
765,1
766,3
767,3
768,4
769,6
770,4
771,4
772,3
774,6
775,4
776,1
777,3
778,4
779,4
780,10
781,7
782,8
783,3
784,3
785,14
786,31
788,3
789,1
790,3
791,6
792,3
793,1
794,2
795,2
796,3
798,3
799,2
800,8
802,4
803,5
804,2
805,1
807,1
808,1
810,2
811,1
812,4
813,1
814,2
815,1
816,6
817,9
820,3
821,2
822,2
823,4
824,2
825,5
826,4
827,10
828,8
830,1
831,1
832,5
835,1
836,13
837,1
838,1
840,2
841,1
842,2
844,1
845,2
846,2
847,1
848,4
849,13
850,5
851,8
857,2
859,1
860,1
861,3
862,1
863,1
865,7
866,9
867,2
868,1
869,2
870,5
871,4
872,5
873,9
874,4
876,1
879,3
880,3
881,11
882,2
883,3
884,1
885,2
887,3
888,1
890,4
891,4
892,4
893,2
895,1
896,2
897,4
898,1
899,1
900,1
901,1
902,2
904,2
905,1
906,3
907,2
908,2
909,2
910,2
911,1
913,6
914,2
915,1
916,1
918,3
922,1
923,1
926,3
927,1
928,1
929,10
930,3
931,1
932,4
933,4
934,2
935,1
936,3
937,6
938,3
939,2
940,1
941,2
942,5
943,6
944,2
945,8
946,1
947,4
948,3
949,2
950,1
951,1
952,1
954,1
955,4
956,11
957,2
958,8
959,2
961,5
962,3
964,3
965,2
966,8
967,1
968,2
969,2
970,2
971,1
972,3
973,1
974,4
975,5
976,5
977,5
978,3
981,1
985,1
986,2
988,2
989,2
990,4
991,1
992,1
993,4
994,2
995,2
996,4
997,4
999,5
1000,2
1002,2
1003,2
1004,1
1006,1
1007,1
1008,3
1009,4
1010,6
1011,4
1013,1
1014,2
1015,4
1016,1
1017,1
1018,3
1019,2
1021,2
1023,3
1024,3
1025,4
1026,5
1028,1
1030,3
1031,2
1033,3
1034,5
1035,2
1037,3
1038,2
1039,6
1041,2
1042,2
1043,1
1044,2
1045,4
1046,2
1047,2
1048,1
1049,4
1052,1
1053,1
1054,4
1055,1
1057,5
1059,2
1060,1
1061,8
1063,1
1064,2
1065,1
1066,2
1068,2
1070,12
1071,1
1072,1
1073,6
1074,2
1075,1
1078,36
1082,2
1084,1
1085,3
1086,2
1087,3
1088,4
1089,12
1090,16
1091,1
1092,51
1094,1
1095,1
1097,1
1098,1
1099,2
1100,2
1101,2
1102,6
1103,516
1104,1
1106,4
1107,2
1111,1
1112,2
1113,1
1114,8
1115,4
1116,4
1117,1
1118,225
1120,4
1121,2
1122,2
1124,37
1125,2
1126,2
1128,2
1129,1
1130,7
1132,6
1133,2
1134,6
1135,8
1136,1
1138,142
1139,1
1140,5
1141,1
1144,1
1145,1
1147,3
1148,1
1150,12
1152,1
1154,9
1155,1
1157,1
1159,2
1161,3
1163,6
1164,4
1165,3
1166,6
1167,2
1168,1
1169,1
1170,5
1171,3
1172,1
1173,2
1179,1
1180,2
1181,2
1183,4
1187,1
1188,1
1189,3
1190,5
1191,2
1193,3
1194,2
1197,1
1198,1
1201,1
1202,2
1203,1
1204,3
1205,9
1206,5
1207,1
1208,2
1209,1
1210,2
1211,3
1214,1
1215,2
1217,10
1218,8
1219,7
1220,7
1221,1
1222,2
1223,4
1224,3
1225,2
1226,2
1227,1
1229,6
1230,14
1231,4
1232,1
1234,4
1235,1
1236,1
1237,4
1238,5
1239,2
1240,3
